Anno	Codice	PuntoV	Imponibile	Iva	Totale	Contanti	Carta	Tickets	Assegni	Altro	Sospesi	Perdite
2025	62	2	449.27	44.93	494.2	410.5	83.5	0	0	0	0	0.2
2025	63	1	1142.75	78.35	1221.1	480.6	381.3	0	0	359.2	0	0
2025	63	2	317.64	31.76	349.4	329.3	20	0	0	0	0	0.1
2025	64	1	1092.93	75.37	1168.3	565.8	263.3	0	0	339.2	0	0
2025	64	2	426.64	42.66	469.3	397.95	71	0	0	0	0	0.35
2025	65	1	1205.2	102.9	1308.1	770.8	361.1	0	0	176.2	0	0
2025	65	2	406.91	40.69	447.6	273.2	174	0	0	0	0	0.4
2025	66	1	2698.02	217.68	2915.7	1378.8	1015.7	0	0	521.2	0	0
2025	66	2	662.27	66.23	728.5	706.06	22	0	0	0	0	0.44
2025	166	1	1176.3	211.6	1387.9	785.5	387.9	0	0	214.5	0	0
2025	166	2	515.66	113.44	629.1	513.4	115.7	0	0	0	0	0
2025	167	1	1373.19	264.11	1637.3	924.6	540	0	0	172.7	0	0
2025	167	2	716.31	157.59	873.9	721.8	152.1	0	0	0	0	0
2025	168	1	1246.45	224.6	1471.05	627.5	618	0	0	225.55	0	0
2025	168	2	395.25	86.95	482.2	407.49	74.7	0	0	0	0	0.01
2025	169	1	1325.61	244.89	1570.5	692.51	665.5	0	0	212.49	0	0
2025	169	2	412.95	90.85	503.8	407.9	95.9	0	0	0	0	0
2025	170	1	2301.74	439.96	2741.7	1098.1	1341.7	0	0	301.9	0	0
2025	170	2	641.89	141.21	783.1	656.7	126.4	0	0	0	0	0
2025	171	1	1874.75	366.55	2241.3	1346.37	686.3	0	0	208.63	0	0
2025	171	2	651.56	143.34	794.9	640.1	154.8	0	0	0	0	0
2025	172	1	1179.19	215.01	1394.2	713.15	479.2	0	0	201.85	0	0
2025	172	2	445.08	97.92	543	478.2	64.8	0	0	0	0	0
2025	173	1	1115.05	203.25	1318.3	743.81	383.3	0	0	191.19	0	0
2025	173	2	449.02	98.78	547.8	383	164.8	0	0	0	0	0
2025	174	1	1082.77	180.83	1263.6	393.4	609.4	0	0	260.8	0	0
2025	174	2	435.08	95.72	530.8	398.3	132.5	0	0	0	0	0
2025	175	1	1436.42	273.28	1709.7	850.78	664.7	0	0	194.22	0	0
2025	175	2	551.48	121.32	672.8	538.5	134.3	0	0	0	0	0
2025	176	1	1328.37	258.63	1587	822.2	612	0	0	152.8	0	0
2025	176	2	499.1	109.8	608.9	478.09	130.8	0	0	0	0	0.01
2025	177	1	2083.18	404.17	2487.35	1338.96	902.35	0	0	246.04	0	0
2025	177	2	669.92	147.38	817.3	681.05	136.25	0	0	0	0	0
2025	178	1	1616.61	309.64	1926.25	970.85	746.25	0	0	209.15	0	0
2025	178	2	689.75	151.75	841.5	703.45	138.05	0	0	0	0	0
2025	179	1	1230.74	221.46	1452.2	705.91	522.2	0	0	224.09	0	0
2025	179	2	589.34	129.66	719	559.8	159.2	0	0	0	0	0
2024	1	1	1964.02	174.02	2138.04	1276.19	638	0	0	223.85	0	0
2024	1	2	675.14	67.16	742.3	655	83.8	0	0	3.5	0	0
2024	2	1	1892.56	166.84	2059.4	1260.8	574.4	0	0	224.2	0	0
2024	2	2	628.96	62.85	691.81	534.6	156.7	0	0	0.51	0	0
2024	3	1	1747.21	134.59	1881.8	1018.68	461.8	0	0	401.32	0	0
2024	3	2	566.11	54.09	620.2	452.3	142.7	0	0	25.2	0	0
2024	4	1	2095.3	153.75	2249.05	1157.2	534.05	0	0	557.8	0	0
2024	4	2	687.46	68.74	756.2	651.8	104.3	0	0	0.1	0	0
2024	5	1	2409.86	196.76	2606.62	1447.7	716.62	0	0	442.3	0	0
2024	5	2	942.91	94.29	1037.2	858.5	175.1	0	0	0	0	3.6
2024	6	1	1965.04	152.36	2117.4	1208.52	467.4	0	0	441.48	0	0
2024	6	2	985.29	98.31	1083.6	887	194.4	0	0	2.2	0	0
2024	7	1	1330.45	98.05	1428.5	815.05	263.5	0	0	349.95	0	0
2024	7	2	372.18	37.22	409.4	353.4	53.2	0	0	0	0	2.8
2024	8	1	1272.03	80.27	1352.3	575.72	307.3	0	0	469.28	0	0
2024	8	2	399.54	39.56	439.1	389.2	46	0	0	3.9	0	0
2024	9	1	1241.67	99.33	1341	741.65	351	0	0	248.35	0	0
2024	9	2	353.08	35.07	388.15	353.8	32	0	0	2.35	0	0
2024	10	1	1302.46	77.24	1379.7	529.9	319.7	0	0	530.1	0	0
2024	10	2	428.73	42.87	471.6	379.3	87.3	0	0	0	0	5
2024	11	1	1258.26	100.64	1358.9	833.1	273.9	0	0	251.9	0	0
2024	11	2	592.98	57.92	650.9	475.8	161.3	0	0	13.8	0	0
2024	12	1	2513.54	225.26	2738.8	1724.03	753.8	0	0	260.97	0	0
2024	12	2	789.36	78.94	868.3	751.6	114.6	0	0	0	0	2.1
2024	13	1	1967.6	140.8	2108.4	1160.37	388.4	0	0	559.63	0	0
2024	13	2	969.21	96.29	1065.5	869	190.2	0	0	6.3	0	0
2024	14	1	1282.43	96.77	1379.2	720.3	344.2	0	0	314.7	0	0
2024	14	2	582.36	58.24	640.6	493.4	140.2	0	0	0	0	7
2024	15	1	1078.12	70.38	1148.5	590.65	183.5	0	0	374.35	0	0
2024	15	2	434.36	43.44	477.8	411.3	65	0	0	0	0	1.5
